HomeTeam,AwayTeam,HomeGoals,AwayGoals,Date,win
1. FC Heidenheim 1846,Kickers Offenbach,2,1,2011-07-22T17:45:00,h
SV Sandhausen,VfR Aalen,2,0,2011-07-23T14:00:00,h
Preußen Münster,SpVgg Unterhaching,1,1,2011-07-23T14:00:00,d
1. FC Saarbrücken,Chemnitzer FC,1,1,2011-07-23T14:00:00,d
Wacker Burghausen,Rot-Weiss Oberhausen,3,2,2011-07-23T14:00:00,h
FC Rot-Weiss Erfurt,FC Carl Zeiss Jena,3,0,2011-07-23T14:00:00,h
Jahn Regensburg,SV Babelsberg 03,1,1,2011-07-23T14:00:00,d
SV Wehen Wiesbaden,Werder Bremen II,2,1,2011-07-23T14:00:00,h
Arminia Bielefeld,VfB Stuttgart II,1,2,2011-07-23T14:00:00,a
SV Darmstadt 98,VfL Osnabrück,0,1,2011-07-23T14:00:00,a
SV Babelsberg 03,FC Rot-Weiss Erfurt,3,0,2011-08-02T18:30:00,h
FC Carl Zeiss Jena,Wacker Burghausen,1,0,2011-08-02T18:30:00,h
Chemnitzer FC,Preußen Münster,1,2,2011-08-02T18:30:00,a
VfL Osnabrück,Arminia Bielefeld,1,1,2011-08-02T19:00:00,d
VfB Stuttgart II,SV Wehen Wiesbaden,0,0,2011-08-02T19:00:00,d
Rot-Weiss Oberhausen,1. FC Saarbrücken,0,0,2011-08-02T19:00:00,d
VfR Aalen,SV Darmstadt 98,1,1,2011-08-02T19:00:00,d
Werder Bremen II,Jahn Regensburg,1,4,2011-08-03T19:00:00,a
SpVgg Unterhaching,1. FC Heidenheim 1846,1,1,2011-08-03T19:00:00,d
Kickers Offenbach,SV Sandhausen,2,0,2011-08-03T19:00:00,d
1. FC Saarbrücken,FC Carl Zeiss Jena,2,1,2011-08-05T18:30:00,h
SV Sandhausen,SV Darmstadt 98,2,0,2011-08-06T14:00:00,h
Preußen Münster,Rot-Weiss Oberhausen,1,0,2011-08-06T14:00:00,d
Wacker Burghausen,SV Babelsberg 03,1,1,2011-08-06T14:00:00,h
Jahn Regensburg,VfB Stuttgart II,2,0,2011-08-06T14:00:00,h
SV Wehen Wiesbaden,VfL Osnabrück,2,1,2011-08-06T14:00:00,h
Arminia Bielefeld,VfR Aalen,0,1,2011-08-06T14:00:00,a
Kickers Offenbach,SpVgg Unterhaching,1,4,2011-08-06T14:00:00,d
1. FC Heidenheim 1846,Chemnitzer FC,3,2,2011-08-06T14:00:00,h
FC Rot-Weiss Erfurt,Werder Bremen II,1,0,2011-08-07T14:00:00,h
VfL Osnabrück,Jahn Regensburg,0,1,2011-08-13T14:00:00,a
VfB Stuttgart II,FC Rot-Weiss Erfurt,2,0,2011-08-13T14:00:00,d
Werder Bremen II,Wacker Burghausen,1,1,2011-08-13T14:00:00,a
SV Babelsberg 03,1. FC Saarbrücken,1,3,2011-08-13T14:00:00,d
FC Carl Zeiss Jena,Preußen Münster,1,3,2011-08-13T14:00:00,d
Rot-Weiss Oberhausen,1. FC Heidenheim 1846,0,3,2011-08-13T14:00:00,a
Chemnitzer FC,Kickers Offenbach,2,0,2011-08-13T14:00:00,h
SpVgg Unterhaching,SV Sandhausen,2,2,2011-08-13T14:00:00,a
SV Darmstadt 98,Arminia Bielefeld,5,1,2011-08-13T14:00:00,h
VfR Aalen,SV Wehen Wiesbaden,2,0,2011-08-13T14:00:00,h
FC Rot-Weiss Erfurt,VfL Osnabrück,0,0,2011-08-16T18:30:00,d
SpVgg Unterhaching,Chemnitzer FC,3,0,2011-08-16T18:30:00,h
1. FC Heidenheim 1846,FC Carl Zeiss Jena,0,0,2011-08-16T18:30:00,d
SV Sandhausen,Arminia Bielefeld,0,0,2011-08-16T19:00:00,d
1. FC Saarbrücken,Werder Bremen II,2,0,2011-08-16T19:00:00,h
Wacker Burghausen,VfB Stuttgart II,1,1,2011-08-16T19:00:00,d
SV Wehen Wiesbaden,SV Darmstadt 98,0,1,2011-08-16T19:00:00,a
Preußen Münster,SV Babelsberg 03,1,1,2011-08-17T19:00:00,d
Jahn Regensburg,VfR Aalen,4,0,2011-08-17T19:00:00,h
Kickers Offenbach,Rot-Weiss Oberhausen,1,0,2011-08-17T19:00:00,h
VfB Stuttgart II,1. FC Saarbrücken,1,1,2011-08-19T19:00:00,d
VfL Osnabrück,Wacker Burghausen,1,1,2011-08-20T14:00:00,d
SV Babelsberg 03,1. FC Heidenheim 1846,2,2,2011-08-20T14:00:00,d
FC Carl Zeiss Jena,Kickers Offenbach,1,2,2011-08-20T14:00:00,a
Rot-Weiss Oberhausen,SpVgg Unterhaching,1,0,2011-08-20T14:00:00,h
Chemnitzer FC,SV Sandhausen,1,3,2011-08-20T14:00:00,a
Arminia Bielefeld,SV Wehen Wiesbaden,0,1,2011-08-20T14:00:00,a
SV Darmstadt 98,Jahn Regensburg,1,1,2011-08-20T14:00:00,d
VfR Aalen,FC Rot-Weiss Erfurt,2,0,2011-08-20T14:00:00,h
Werder Bremen II,Preußen Münster,0,0,2011-08-21T14:00:00,d
1. FC Saarbrücken,VfL Osnabrück,2,2,2011-08-26T19:00:00,h
SV Sandhausen,SV Wehen Wiesbaden,0,0,2011-08-27T14:00:00,d
Preußen Münster,VfB Stuttgart II,1,1,2011-08-27T14:00:00,d
Wacker Burghausen,VfR Aalen,0,0,2011-08-27T14:00:00,d
FC Rot-Weiss Erfurt,SV Darmstadt 98,2,0,2011-08-27T14:00:00,h
Jahn Regensburg,Arminia Bielefeld,2,2,2011-08-27T14:00:00,d
Chemnitzer FC,Rot-Weiss Oberhausen,1,0,2011-08-27T14:00:00,h
SpVgg Unterhaching,FC Carl Zeiss Jena,6,0,2011-08-27T14:00:00,h
Kickers Offenbach,SV Babelsberg 03,1,1,2011-08-27T14:00:00,d
1. FC Heidenheim 1846,Werder Bremen II,1,0,2011-08-27T14:00:00,h
VfB Stuttgart II,1. FC Heidenheim 1846,1,0,2011-09-09T19:00:00,h
