HomeTeam,AwayTeam,HomeGoals,AwayGoals,Date,win
Energie Cottbus,SG Dynamo Dresden,2,1,2011-07-15T18:00:00,h
FSV Frankfurt,1. FC Union Berlin,1,1,2011-07-15T18:00:00,d
SpVgg Greuther Fürth,Eintracht Frankfurt,2,3,2011-07-15T20:30:00,a
FC St. Pauli,FC Ingolstadt 04,2,0,2011-07-16T13:00:00,d
Erzgebirge Aue,Alemannia Aachen,1,0,2011-07-16T13:00:00,h
FC Hansa Rostock,SC Paderborn 07,1,2,2011-07-17T15:30:00,a
Eintracht Braunschweig,TSV 1860 München,3,1,2011-07-17T15:30:00,h
Karlsruher SC,MSV Duisburg,3,2,2011-07-17T15:30:00,h
Fortuna Düsseldorf,VfL Bochum,2,0,2011-07-18T20:15:00,h
VfL Bochum,FSV Frankfurt,1,0,2011-07-22T18:00:00,h
FC Ingolstadt 04,Erzgebirge Aue,0,0,2011-07-22T18:00:00,d
MSV Duisburg,Energie Cottbus,1,2,2011-07-22T20:30:00,a
TSV 1860 München,Karlsruher SC,2,1,2011-07-23T15:30:00,h
1. FC Union Berlin,SpVgg Greuther Fürth,0,4,2011-07-23T15:30:00,a
Alemannia Aachen,Eintracht Braunschweig,0,2,2011-07-24T15:30:00,a
SC Paderborn 07,Fortuna Düsseldorf,1,1,2011-07-24T15:30:00,d
SG Dynamo Dresden,FC Hansa Rostock,1,1,2011-07-24T15:30:00,d
Eintracht Frankfurt,FC St. Pauli,1,1,2011-07-25T20:15:00,d
FC St. Pauli,Alemannia Aachen,3,1,2011-08-05T18:00:00,h
Fortuna Düsseldorf,FC Ingolstadt 04,4,1,2011-08-05T18:00:00,h
1. FC Union Berlin,SC Paderborn 07,3,0,2011-08-05T18:00:00,h
SpVgg Greuther Fürth,SG Dynamo Dresden,1,0,2011-08-06T13:00:00,d
Energie Cottbus,TSV 1860 München,0,5,2011-08-06T13:00:00,a
Erzgebirge Aue,Karlsruher SC,0,2,2011-08-07T13:30:00,a
FSV Frankfurt,MSV Duisburg,0,0,2011-08-07T13:30:00,d
Eintracht Braunschweig,Eintracht Frankfurt,0,3,2011-08-07T13:30:00,a
FC Hansa Rostock,VfL Bochum,0,0,2011-08-08T20:15:00,d
Karlsruher SC,Eintracht Braunschweig,1,3,2011-08-12T18:00:00,a
SG Dynamo Dresden,1. FC Union Berlin,4,0,2011-08-12T18:00:00,h
VfL Bochum,FC St. Pauli,1,2,2011-08-12T20:30:00,d
Alemannia Aachen,Energie Cottbus,0,2,2011-08-13T13:00:00,a
SC Paderborn 07,SpVgg Greuther Fürth,0,1,2011-08-13T13:00:00,a
MSV Duisburg,FC Hansa Rostock,0,0,2011-08-14T13:30:00,d
TSV 1860 München,Erzgebirge Aue,4,0,2011-08-14T13:30:00,d
FC Ingolstadt 04,FSV Frankfurt,1,1,2011-08-14T13:30:00,d
Eintracht Frankfurt,Fortuna Düsseldorf,1,1,2011-08-15T20:15:00,d
SpVgg Greuther Fürth,FC Ingolstadt 04,3,0,2011-08-19T18:00:00,h
Fortuna Düsseldorf,TSV 1860 München,3,1,2011-08-19T18:00:00,h
FC Hansa Rostock,Alemannia Aachen,0,0,2011-08-19T18:00:00,d
1. FC Union Berlin,VfL Bochum,2,1,2011-08-20T13:00:00,h
Eintracht Braunschweig,Erzgebirge Aue,1,1,2011-08-20T13:00:00,d
Energie Cottbus,Karlsruher SC,2,0,2011-08-21T13:30:00,h
FSV Frankfurt,Eintracht Frankfurt,0,4,2011-08-21T13:30:00,a
SG Dynamo Dresden,SC Paderborn 07,1,2,2011-08-21T13:30:00,a
FC St. Pauli,MSV Duisburg,2,1,2011-08-22T20:15:00,h
VfL Bochum,SpVgg Greuther Fürth,1,4,2011-08-26T18:00:00,a
MSV Duisburg,SG Dynamo Dresden,3,0,2011-08-26T18:00:00,h
FC Ingolstadt 04,FC Hansa Rostock,3,1,2011-08-26T18:00:00,h
Alemannia Aachen,Fortuna Düsseldorf,0,0,2011-08-27T13:00:00,d
Karlsruher SC,FSV Frankfurt,0,4,2011-08-27T13:00:00,a
Eintracht Frankfurt,SC Paderborn 07,0,0,2011-08-28T13:30:00,d
TSV 1860 München,1. FC Union Berlin,3,1,2011-08-28T13:30:00,h
Eintracht Braunschweig,FC St. Pauli,1,0,2011-08-28T13:30:00,h
Erzgebirge Aue,Energie Cottbus,0,0,2011-08-29T20:15:00,d
SpVgg Greuther Fürth,MSV Duisburg,2,1,2011-09-09T18:00:00,h
SC Paderborn 07,Alemannia Aachen,0,0,2011-09-09T18:00:00,d
FC Hansa Rostock,Eintracht Braunschweig,0,0,2011-09-09T18:00:00,d
Energie Cottbus,Eintracht Frankfurt,3,3,2011-09-10T13:00:00,d
Fortuna Düsseldorf,Karlsruher SC,4,2,2011-09-10T13:00:00,h
FC St. Pauli,TSV 1860 München,4,2,2011-09-11T13:30:00,h
1. FC Union Berlin,FC Ingolstadt 04,4,1,2011-09-11T13:30:00,h
FSV Frankfurt,Erzgebirge Aue,1,1,2011-09-11T13:30:00,d
SG Dynamo Dresden,VfL Bochum,2,1,2011-09-12T20:15:00,h
Eintracht Frankfurt,FC Hansa Rostock,4,1,2011-09-16T18:00:00,h
Erzgebirge Aue,Fortuna Düsseldorf,2,4,2011-09-16T18:00:00,a
FC Ingolstadt 04,SG Dynamo Dresden,4,2,2011-09-16T18:00:00,h
MSV Duisburg,1. FC Union Berlin,1,1,2011-09-17T13:00:00,d
Eintracht Braunschweig,Energie Cottbus,3,1,2011-09-17T13:00:00,h
VfL Bochum,SC Paderborn 07,0,4,2011-09-18T13:30:00,a
TSV 1860 München,FSV Frankfurt,4,0,2011-09-18T13:30:00,h
Alemannia Aachen,SpVgg Greuther Fürth,0,0,2011-09-18T13:30:00,d
Karlsruher SC,FC St. Pauli,0,2,2011-09-19T20:15:00,a
SC Paderborn 07,FC Ingolstadt 04,4,1,2011-09-23T18:00:00,h
FSV Frankfurt,Eintracht Braunschweig,1,1,2011-09-23T18:00:00,d
FC St. Pauli,Erzgebirge Aue,2,3,2011-09-23T18:00:00,a
1. FC Union Berlin,Alemannia Aachen,2,0,2011-09-24T13:00:00,h
Fortuna Düsseldorf,Energie Cottbus,4,2,2011-09-24T13:00:00,h
FC Hansa Rostock,Karlsruher SC,1,1,2011-09-25T13:30:00,d
SpVgg Greuther Fürth,TSV 1860 München,2,0,2011-09-25T13:30:00,h
VfL Bochum,MSV Duisburg,2,1,2011-09-25T13:30:00,h
SG Dynamo Dresden,Eintracht Frankfurt,1,4,2011-09-26T20:15:00,a
Alemannia Aachen,FSV Frankfurt,1,3,2011-09-30T18:00:00,a
Eintracht Frankfurt,1. FC Union Berlin,3,1,2011-09-30T18:00:00,h
Erzgebirge Aue,FC Hansa Rostock,1,0,2011-09-30T18:00:00,h
FC Ingolstadt 04,VfL Bochum,3,5,2011-10-01T13:00:00,a
Energie Cottbus,FC St. Pauli,1,4,2011-10-01T13:00:00,a
Karlsruher SC,SpVgg Greuther Fürth,2,2,2011-10-02T13:30:00,d
TSV 1860 München,SG Dynamo Dresden,2,4,2011-10-02T13:30:00,a
MSV Duisburg,SC Paderborn 07,0,1,2011-10-02T13:30:00,a
Eintracht Braunschweig,Fortuna Düsseldorf,1,1,2011-10-03T20:15:00,d
VfL Bochum,Eintracht Frankfurt,0,2,2011-10-14T18:00:00,a
SC Paderborn 07,Eintracht Braunschweig,1,0,2011-10-14T18:00:00,h
FC Hansa Rostock,TSV 1860 München,2,0,2011-10-14T18:00:00,h
MSV Duisburg,FC Ingolstadt 04,3,1,2011-10-15T13:00:00,h
1. FC Union Berlin,Karlsruher SC,2,0,2011-10-15T13:00:00,h
SpVgg Greuther Fürth,Erzgebirge Aue,2,0,2011-10-16T13:30:00,h
FSV Frankfurt,Energie Cottbus,0,1,2011-10-16T13:30:00,a
SG Dynamo Dresden,Alemannia Aachen,1,1,2011-10-16T13:30:00,d
