Borussia Dortmund,Werder Bremen,2,1,2012-08-24T20:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/240px-Borussia_Dortmund_logo.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png']"
Borussia Mönchengladbach,TSG 1899 Hoffenheim,2,1,2012-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_Mönchengladbach_logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/64/TSG_Logo-Standard_4c.png']"
SC Freiburg,1. FSV Mainz 05,1,1,2012-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/de/thumb/f/f1/SC-Freiburg_Logo-neu.svg/739px-SC-Freiburg_Logo-neu.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1099px-Logo_Mainz_05.svg.png']"
FC Augsburg,Fortuna Düsseldorf,0,2,2012-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png']"
Hamburger SV,1. FC Nürnberg,0,1,2012-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/6/66/HSV-Logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg']"
SpVgg Greuther Fürth,FC Bayern,0,3,2012-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/de/b/b1/SpVgg_Greuther_Fürth_2017.svg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Logo_FC_Bayern_M%C3%BCnchen_%282002%E2%80%932017%29.svg/240px-Logo_FC_Bayern_M%C3%BCnchen_%282002%E2%80%932017%29.svg.png']"
Eintracht Frankfurt,Bayer Leverkusen,2,1,2012-08-25T18:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/1024px-Eintracht_Frankfurt_Logo.svg.png', 'https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1280px-Bayer_Leverkusen_Logo.svg.png']"
VfB Stuttgart,VfL Wolfsburg,0,1,2012-08-25T20:45:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/921px-VfB_Stuttgart_1893_Logo.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/1024px-Logo-VfL-Wolfsburg.svg.png']"
Hannover 96,FC Schalke 04,2,2,2012-08-26T17:30:00,"['https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg']"
1. FSV Mainz 05,SpVgg Greuther Fürth,0,1,2012-08-31T20:30:00
FC Schalke 04,FC Augsburg,3,1,2012-09-01T15:30:00
Bayer Leverkusen,SC Freiburg,2,0,2012-09-01T15:30:00
Werder Bremen,Hamburger SV,2,0,2012-09-01T15:30:00
1. FC Nürnberg,Borussia Dortmund,1,1,2012-09-01T15:30:00
TSG 1899 Hoffenheim,Eintracht Frankfurt,0,4,2012-09-01T15:30:00
Fortuna Düsseldorf,Borussia Mönchengladbach,0,0,2012-09-01T18:30:00
VfL Wolfsburg,Hannover 96,0,2,2012-09-02T15:30:00
FC Bayern,VfB Stuttgart,6,1,2012-09-02T17:30:00
FC Augsburg,VfL Wolfsburg,0,0,2012-09-14T20:30:00
Borussia Dortmund,Bayer Leverkusen,3,0,2012-09-15T15:30:00
FC Bayern,1. FSV Mainz 05,3,1,2012-09-15T15:30:00
Borussia Mönchengladbach,1. FC Nürnberg,2,3,2012-09-15T15:30:00
VfB Stuttgart,Fortuna Düsseldorf,0,0,2012-09-15T15:30:00
Hannover 96,Werder Bremen,3,2,2012-09-15T15:30:00
SpVgg Greuther Fürth,FC Schalke 04,0,0,2012-09-15T18:30:00
SC Freiburg,TSG 1899 Hoffenheim,5,3,2012-09-16T15:30:00
Eintracht Frankfurt,Hamburger SV,3,2,2012-09-16T17:30:00
1. FC Nürnberg,Eintracht Frankfurt,1,2,2012-09-21T20:30:00
FC Schalke 04,FC Bayern,0,2,2012-09-22T15:30:00
VfL Wolfsburg,SpVgg Greuther Fürth,1,1,2012-09-22T15:30:00
1. FSV Mainz 05,FC Augsburg,2,0,2012-09-22T15:30:00
Hamburger SV,Borussia Dortmund,3,2,2012-09-22T15:30:00
Fortuna Düsseldorf,SC Freiburg,0,0,2012-09-22T15:30:00
Bayer Leverkusen,Borussia Mönchengladbach,1,1,2012-09-23T15:30:00
Werder Bremen,VfB Stuttgart,2,2,2012-09-23T17:30:00
TSG 1899 Hoffenheim,Hannover 96,3,1,2012-09-23T17:30:00
FC Bayern,VfL Wolfsburg,3,0,2012-09-25T20:00:00
FC Schalke 04,1. FSV Mainz 05,3,0,2012-09-25T20:00:00
SpVgg Greuther Fürth,Fortuna Düsseldorf,0,2,2012-09-25T20:00:00
Eintracht Frankfurt,Borussia Dortmund,3,3,2012-09-25T20:00:00
Borussia Mönchengladbach,Hamburger SV,2,2,2012-09-26T20:00:00
VfB Stuttgart,TSG 1899 Hoffenheim,0,3,2012-09-26T20:00:00
Hannover 96,1. FC Nürnberg,4,1,2012-09-26T20:00:00
SC Freiburg,Werder Bremen,1,2,2012-09-26T20:00:00
FC Augsburg,Bayer Leverkusen,1,3,2012-09-26T20:00:00
Fortuna Düsseldorf,FC Schalke 04,0,2,2012-09-28T20:30:00
Bayer Leverkusen,SpVgg Greuther Fürth,2,0,2012-09-29T15:30:00
Werder Bremen,FC Bayern,0,2,2012-09-29T15:30:00
1. FC Nürnberg,VfB Stuttgart,0,2,2012-09-29T15:30:00
TSG 1899 Hoffenheim,FC Augsburg,0,0,2012-09-29T15:30:00
Hamburger SV,Hannover 96,1,0,2012-09-29T15:30:00
Borussia Dortmund,Borussia Mönchengladbach,2,0,2012-09-29T18:30:00
Eintracht Frankfurt,SC Freiburg,2,1,2012-09-30T15:30:00
VfL Wolfsburg,1. FSV Mainz 05,0,2,2012-09-30T17:30:00
FC Augsburg,Werder Bremen,3,1,2012-10-05T20:30:00
FC Bayern,TSG 1899 Hoffenheim,2,0,2012-10-06T15:30:00
FC Schalke 04,VfL Wolfsburg,3,0,2012-10-06T15:30:00
SC Freiburg,1. FC Nürnberg,3,0,2012-10-06T15:30:00
1. FSV Mainz 05,Fortuna Düsseldorf,1,0,2012-10-06T15:30:00
SpVgg Greuther Fürth,Hamburger SV,0,1,2012-10-06T15:30:00
Borussia Mönchengladbach,Eintracht Frankfurt,2,0,2012-10-07T15:30:00
VfB Stuttgart,Bayer Leverkusen,2,2,2012-10-07T17:30:00
Hannover 96,Borussia Dortmund,1,1,2012-10-07T17:30:00
TSG 1899 Hoffenheim,SpVgg Greuther Fürth,3,3,2012-10-19T20:30:00
Borussia Dortmund,FC Schalke 04,1,2,2012-10-20T15:30:00
Bayer Leverkusen,1. FSV Mainz 05,2,2,2012-10-20T15:30:00
VfL Wolfsburg,SC Freiburg,0,2,2012-10-20T15:30:00
Eintracht Frankfurt,Hannover 96,3,1,2012-10-20T15:30:00
Fortuna Düsseldorf,FC Bayern,0,5,2012-10-20T15:30:00
Werder Bremen,Borussia Mönchengladbach,2,0,2012-10-20T18:30:00
1. FC Nürnberg,FC Augsburg,0,0,2012-10-21T15:30:00
Hamburger SV,VfB Stuttgart,0,1,2012-10-21T17:30:00
FC Augsburg,Hamburger SV,0,2,2012-10-26T20:30:00
FC Schalke 04,1. FC Nürnberg,1,0,2012-10-27T15:30:00
SC Freiburg,Borussia Dortmund,0,2,2012-10-27T15:30:00
1. FSV Mainz 05,TSG 1899 Hoffenheim,3,0,2012-10-27T15:30:00
SpVgg Greuther Fürth,Werder Bremen,1,1,2012-10-27T15:30:00
Fortuna Düsseldorf,VfL Wolfsburg,1,4,2012-10-27T15:30:00
VfB Stuttgart,Eintracht Frankfurt,1,0,2012-10-28T15:30:00
FC Bayern,Bayer Leverkusen,0,1,2012-10-28T17:30:00
Hannover 96,Borussia Mönchengladbach,0,0,2012-10-28T17:30:00
Eintracht Frankfurt,SpVgg Greuther Fürth,1,1,2012-11-02T20:30:00
Borussia Dortmund,VfB Stuttgart,0,0,2012-11-03T15:30:00
Borussia Mönchengladbach,SC Freiburg,1,1,2012-11-03T15:30:00
Hannover 96,FC Augsburg,2,0,2012-11-03T15:30:00
1. FC Nürnberg,VfL Wolfsburg,1,0,2012-11-03T15:30:00
TSG 1899 Hoffenheim,FC Schalke 04,3,2,2012-11-03T15:30:00
Hamburger SV,FC Bayern,0,3,2012-11-03T18:30:00
Bayer Leverkusen,Fortuna Düsseldorf,2,1,2012-11-04T15:30:00
Werder Bremen,1. FSV Mainz 05,2,1,2012-11-04T17:30:00
1. FSV Mainz 05,1. FC Nürnberg,2,1,2012-11-09T20:30:00
FC Bayern,Eintracht Frankfurt,2,0,2012-11-10T15:30:00
FC Schalke 04,Werder Bremen,2,1,2012-11-10T15:30:00
SC Freiburg,Hamburger SV,0,0,2012-11-10T15:30:00
FC Augsburg,Borussia Dortmund,1,3,2012-11-10T15:30:00
Fortuna Düsseldorf,TSG 1899 Hoffenheim,1,1,2012-11-10T15:30:00
VfL Wolfsburg,Bayer Leverkusen,3,0,2012-11-11T15:30:00
VfB Stuttgart,Hannover 96,2,4,2012-11-11T17:30:00
SpVgg Greuther Fürth,Borussia Mönchengladbach,2,4,2012-11-11T17:30:00
Borussia Dortmund,SpVgg Greuther Fürth,3,1,2012-11-17T15:30:00
Borussia Mönchengladbach,VfB Stuttgart,1,1,2012-11-17T15:30:00
Hannover 96,SC Freiburg,1,2,2012-11-17T15:30:00
1. FC Nürnberg,FC Bayern,0,1,2012-11-17T15:30:00
Hamburger SV,1. FSV Mainz 05,0,0,2012-11-17T15:30:00
Eintracht Frankfurt,FC Augsburg,2,1,2012-11-17T15:30:00
Bayer Leverkusen,FC Schalke 04,2,0,2012-11-17T18:30:00
Werder Bremen,Fortuna Düsseldorf,2,1,2012-11-18T15:30:00
TSG 1899 Hoffenheim,VfL Wolfsburg,1,3,2012-11-18T17:30:00
Fortuna Düsseldorf,Hamburger SV,2,0,2012-11-23T20:30:00
FC Bayern,Hannover 96,5,0,2012-11-24T15:30:00
FC Schalke 04,Eintracht Frankfurt,1,1,2012-11-24T15:30:00
VfL Wolfsburg,Werder Bremen,1,1,2012-11-24T15:30:00
1. FSV Mainz 05,Borussia Dortmund,1,2,2012-11-24T15:30:00
SpVgg Greuther Fürth,1. FC Nürnberg,0,0,2012-11-24T15:30:00
SC Freiburg,VfB Stuttgart,3,0,2012-11-25T15:30:00
TSG 1899 Hoffenheim,Bayer Leverkusen,1,2,2012-11-25T17:30:00
FC Augsburg,Borussia Mönchengladbach,1,1,2012-11-25T17:30:00
Borussia Dortmund,Fortuna Düsseldorf,1,1,2012-11-27T20:00:00
Hannover 96,SpVgg Greuther Fürth,2,0,2012-11-27T20:00:00
