"['FC Bayern', 'Bayer Leverkusen']","[2, 0]",2017-08-18T20:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Logo_FC_Bayern_M%C3%BCnchen_%282002%E2%80%932017%29.svg/240px-Logo_FC_Bayern_M%C3%BCnchen_%282002%E2%80%932017%29.svg.png', 'https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1280px-Bayer_Leverkusen_Logo.svg.png']"
"['TSG 1899 Hoffenheim', 'Werder Bremen']","[0, 0]",2017-08-19T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/6/64/TSG_Logo-Standard_4c.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png']"
"['Hertha BSC', 'VfB Stuttgart']","[0, 0]",2017-08-19T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/2858px-Hertha_BSC_Logo_2012.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/921px-VfB_Stuttgart_1893_Logo.svg.png']"
"['Hamburger SV', 'FC Augsburg']","[1, 0]",2017-08-19T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/6/66/HSV-Logo.svg', 'https://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg']"
"['1. FSV Mainz 05', 'Hannover 96']","[0, 0]",2017-08-19T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1099px-Logo_Mainz_05.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg']"
"['VfL Wolfsburg', 'Borussia Dortmund']","[0, 2]",2017-08-19T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/1024px-Logo-VfL-Wolfsburg.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/240px-Borussia_Dortmund_logo.svg.png']"
"['FC Schalke 04', 'RB Leipzig']","[1, 0]",2017-08-19T18:30:00,"['https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg', 'https://upload.wikimedia.org/wikipedia/en/thumb/0/04/RB_Leipzig_2014_logo.svg/800px-RB_Leipzig_2014_logo.svg.png']"
"['SC Freiburg', 'Eintracht Frankfurt']","[0, 0]",2017-08-20T15:30:00,"['https://upload.wikimedia.org/wikipedia/de/thumb/f/f1/SC-Freiburg_Logo-neu.svg/739px-SC-Freiburg_Logo-neu.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/1024px-Eintracht_Frankfurt_Logo.svg.png']"
"['Borussia Mönchengladbach', '1. FC Köln']","[0, 0]",2017-08-20T18:00:00,"['https://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_Mönchengladbach_logo.svg', 'https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/901px-FC_Cologne_logo.svg.png']"
"['1. FC Köln', 'Hamburger SV']","[0, 2]",2017-08-25T20:30:00
"['Werder Bremen', 'FC Bayern']","[0, 0]",2017-08-26T15:30:00
"['Eintracht Frankfurt', 'VfL Wolfsburg']","[0, 1]",2017-08-26T15:30:00
"['Bayer Leverkusen', 'TSG 1899 Hoffenheim']","[1, 0]",2017-08-26T15:30:00
"['FC Augsburg', 'Borussia Mönchengladbach']","[1, 2]",2017-08-26T15:30:00
"['VfB Stuttgart', '1. FSV Mainz 05']","[0, 0]",2017-08-26T15:30:00
"['Borussia Dortmund', 'Hertha BSC']","[1, 0]",2017-08-26T18:30:00
"['RB Leipzig', 'SC Freiburg']","[0, 1]",2017-08-27T15:30:00
"['Hannover 96', 'FC Schalke 04']","[0, 0]",2017-08-27T18:00:00
"['Hamburger SV', 'RB Leipzig']","[0, 0]",2017-09-08T20:30:00
"['SC Freiburg', 'Borussia Dortmund']","[0, 0]",2017-09-09T15:30:00
"['Borussia Mönchengladbach', 'Eintracht Frankfurt']","[0, 1]",2017-09-09T15:30:00
"['FC Augsburg', '1. FC Köln']","[2, 0]",2017-09-09T15:30:00
"['1. FSV Mainz 05', 'Bayer Leverkusen']","[1, 1]",2017-09-09T15:30:00
"['VfL Wolfsburg', 'Hannover 96']","[0, 0]",2017-09-09T15:30:00
"['TSG 1899 Hoffenheim', 'FC Bayern']","[1, 0]",2017-09-09T18:30:00
"['Hertha BSC', 'Werder Bremen']","[1, 0]",2017-09-10T15:30:00
"['FC Schalke 04', 'VfB Stuttgart']","[1, 1]",2017-09-10T18:00:00
"['Hannover 96', 'Hamburger SV']","[0, 0]",2017-09-15T20:30:00
"['FC Bayern', '1. FSV Mainz 05']","[2, 0]",2017-09-16T15:30:00
"['Werder Bremen', 'FC Schalke 04']","[1, 1]",2017-09-16T15:30:00
"['Eintracht Frankfurt', 'FC Augsburg']","[0, 1]",2017-09-16T15:30:00
"['VfB Stuttgart', 'VfL Wolfsburg']","[1, 0]",2017-09-16T15:30:00
"['RB Leipzig', 'Borussia Mönchengladbach']","[2, 1]",2017-09-16T18:30:00
"['TSG 1899 Hoffenheim', 'Hertha BSC']","[1, 0]",2017-09-17T13:30:00
"['Bayer Leverkusen', 'SC Freiburg']","[3, 0]",2017-09-17T15:30:00
"['Borussia Dortmund', '1. FC Köln']","[2, 0]",2017-09-17T18:00:00
"['Borussia Mönchengladbach', 'VfB Stuttgart']","[0, 0]",2017-09-19T18:30:00
"['FC Schalke 04', 'FC Bayern']","[0, 2]",2017-09-19T20:30:00
"['FC Augsburg', 'RB Leipzig']","[1, 0]",2017-09-19T20:30:00
"['VfL Wolfsburg', 'Werder Bremen']","[1, 0]",2017-09-19T20:30:00
"['1. FC Köln', 'Eintracht Frankfurt']","[0, 1]",2017-09-20T18:30:00
"['Hertha BSC', 'Bayer Leverkusen']","[2, 0]",2017-09-20T20:30:00
"['SC Freiburg', 'Hannover 96']","[0, 0]",2017-09-20T20:30:00
"['Hamburger SV', 'Borussia Dortmund']","[0, 1]",2017-09-20T20:30:00
"['1. FSV Mainz 05', 'TSG 1899 Hoffenheim']","[2, 2]",2017-09-20T20:30:00
"['FC Bayern', 'VfL Wolfsburg']","[2, 0]",2017-09-22T20:30:00
"['RB Leipzig', 'Eintracht Frankfurt']","[1, 0]",2017-09-23T15:30:00
"['TSG 1899 Hoffenheim', 'FC Schalke 04']","[1, 0]",2017-09-23T15:30:00
"['Werder Bremen', 'SC Freiburg']","[0, 0]",2017-09-23T15:30:00
"['1. FSV Mainz 05', 'Hertha BSC']","[0, 0]",2017-09-23T15:30:00
"['VfB Stuttgart', 'FC Augsburg']","[0, 0]",2017-09-23T15:30:00
"['Borussia Dortmund', 'Borussia Mönchengladbach']","[3, 0]",2017-09-23T18:30:00
"['Hannover 96', '1. FC Köln']","[0, 0]",2017-09-24T15:30:00
"['Bayer Leverkusen', 'Hamburger SV']","[2, 0]",2017-09-24T18:00:00
"['FC Schalke 04', 'Bayer Leverkusen']","[1, 0]",2017-09-29T20:30:00
"['Borussia Mönchengladbach', 'Hannover 96']","[0, 0]",2017-09-30T15:30:00
"['Eintracht Frankfurt', 'VfB Stuttgart']","[1, 0]",2017-09-30T15:30:00
"['FC Augsburg', 'Borussia Dortmund']","[1, 2]",2017-09-30T15:30:00
"['VfL Wolfsburg', '1. FSV Mainz 05']","[0, 0]",2017-09-30T15:30:00
"['Hamburger SV', 'Werder Bremen']","[0, 0]",2017-09-30T18:30:00
"['SC Freiburg', 'TSG 1899 Hoffenheim']","[2, 1]",2017-10-01T13:30:00
"['Hertha BSC', 'FC Bayern']","[0, 1]",2017-10-01T15:30:00
"['1. FC Köln', 'RB Leipzig']","[0, 1]",2017-10-01T18:00:00
"['VfB Stuttgart', '1. FC Köln']","[1, 0]",2017-10-13T20:30:00
"['FC Bayern', 'SC Freiburg']","[2, 0]",2017-10-14T15:30:00
"['TSG 1899 Hoffenheim', 'FC Augsburg']","[0, 0]",2017-10-14T15:30:00
"['Hertha BSC', 'FC Schalke 04']","[0, 0]",2017-10-14T15:30:00
"['1. FSV Mainz 05', 'Hamburger SV']","[1, 1]",2017-10-14T15:30:00
"['Hannover 96', 'Eintracht Frankfurt']","[1, 1]",2017-10-14T15:30:00
"['Borussia Dortmund', 'RB Leipzig']","[1, 2]",2017-10-14T18:30:00
"['Bayer Leverkusen', 'VfL Wolfsburg']","[1, 1]",2017-10-15T15:30:00
"['Werder Bremen', 'Borussia Mönchengladbach']","[0, 2]",2017-10-15T18:00:00
"['FC Schalke 04', '1. FSV Mainz 05']","[1, 0]",2017-10-20T20:30:00
"['RB Leipzig', 'VfB Stuttgart']","[1, 0]",2017-10-21T15:30:00
"['Borussia Mönchengladbach', 'Bayer Leverkusen']","[1, 0]",2017-10-21T15:30:00
"['Eintracht Frankfurt', 'Borussia Dortmund']","[0, 1]",2017-10-21T15:30:00
"['FC Augsburg', 'Hannover 96']","[1, 0]",2017-10-21T15:30:00
"['Hamburger SV', 'FC Bayern']","[0, 0]",2017-10-21T18:30:00
"['1. FC Köln', 'Werder Bremen']","[0, 0]",2017-10-22T13:30:00
"['SC Freiburg', 'Hertha BSC']","[0, 0]",2017-10-22T15:30:00
"['VfL Wolfsburg', 'TSG 1899 Hoffenheim']","[0, 0]",2017-10-22T18:00:00
"['1. FSV Mainz 05', 'Eintracht Frankfurt']","[0, 1]",2017-10-27T20:30:00
"['TSG 1899 Hoffenheim', 'Borussia Mönchengladbach']","[1, 0]",2017-10-28T15:30:00
"['Hertha BSC', 'Hamburger SV']","[1, 0]",2017-10-28T15:30:00
