"['Borussia Dortmund', 'Hamburger SV']","[3, 1]",2011-08-05T20:30:00
"['Werder Bremen', '1. FC Kaiserslautern']","[2, 0]",2011-08-06T15:30:00
"['VfB Stuttgart', 'FC Schalke 04']","[3, 0]",2011-08-06T15:30:00
"['1. FC Köln', 'VfL Wolfsburg']","[0, 3]",2011-08-06T15:30:00
"['FC Augsburg', 'SC Freiburg']","[2, 2]",2011-08-06T15:30:00
"['Hannover 96', 'TSG 1899 Hoffenheim']","[2, 1]",2011-08-06T15:30:00
"['Hertha BSC', '1. FC Nürnberg']","[0, 1]",2011-08-06T18:30:00
"['1. FSV Mainz 05', 'Bayer Leverkusen']","[2, 0]",2011-08-07T15:30:00
"['FC Bayern', 'Borussia Mönchengladbach']","[0, 1]",2011-08-07T17:30:00
"['FC Schalke 04', '1. FC Köln']","[5, 1]",2011-08-13T15:30:00
"['Hamburger SV', 'Hertha BSC']","[2, 2]",2011-08-13T15:30:00
"['1. FC Nürnberg', 'Hannover 96']","[1, 2]",2011-08-13T15:30:00
"['SC Freiburg', '1. FSV Mainz 05']","[1, 2]",2011-08-13T15:30:00
"['TSG 1899 Hoffenheim', 'Borussia Dortmund']","[1, 0]",2011-08-13T15:30:00
"['VfL Wolfsburg', 'FC Bayern']","[0, 1]",2011-08-13T15:30:00
"['Borussia Mönchengladbach', 'VfB Stuttgart']","[1, 1]",2011-08-13T18:30:00
"['1. FC Kaiserslautern', 'FC Augsburg']","[1, 1]",2011-08-14T15:30:00
"['Bayer Leverkusen', 'Werder Bremen']","[1, 0]",2011-08-14T17:30:00
"['Borussia Mönchengladbach', 'VfL Wolfsburg']","[3, 1]",2011-08-19T20:30:00
"['Borussia Dortmund', '1. FC Nürnberg']","[0, 0]",2011-08-20T15:30:00
"['FC Bayern', 'Hamburger SV']","[3, 0]",2011-08-20T15:30:00
"['Werder Bremen', 'SC Freiburg']","[2, 1]",2011-08-20T15:30:00
"['VfB Stuttgart', 'Bayer Leverkusen']","[0, 1]",2011-08-20T15:30:00
"['FC Augsburg', 'TSG 1899 Hoffenheim']","[0, 1]",2011-08-20T15:30:00
"['1. FC Köln', '1. FC Kaiserslautern']","[1, 1]",2011-08-20T18:30:00
"['1. FSV Mainz 05', 'FC Schalke 04']","[2, 4]",2011-08-21T15:30:00
"['Hannover 96', 'Hertha BSC']","[1, 1]",2011-08-21T17:30:00
"['Hertha BSC', 'VfB Stuttgart']","[1, 0]",2011-08-26T20:30:00
"['Hamburger SV', '1. FC Köln']","[3, 4]",2011-08-27T15:30:00
"['1. FC Nürnberg', 'FC Augsburg']","[1, 0]",2011-08-27T15:30:00
"['SC Freiburg', 'VfL Wolfsburg']","[3, 0]",2011-08-27T15:30:00
"['1. FC Kaiserslautern', 'FC Bayern']","[0, 3]",2011-08-27T15:30:00
"['TSG 1899 Hoffenheim', 'Werder Bremen']","[1, 2]",2011-08-27T15:30:00
"['Bayer Leverkusen', 'Borussia Dortmund']","[0, 0]",2011-08-27T18:30:00
"['Hannover 96', '1. FSV Mainz 05']","[1, 1]",2011-08-28T15:30:00
"['FC Schalke 04', 'Borussia Mönchengladbach']","[1, 0]",2011-08-28T17:30:00
"['FC Augsburg', 'Bayer Leverkusen']","[1, 4]",2011-09-09T20:30:00
"['Borussia Dortmund', 'Hertha BSC']","[1, 2]",2011-09-10T15:30:00
"['FC Bayern', 'SC Freiburg']","[7, 0]",2011-09-10T15:30:00
"['1. FSV Mainz 05', 'TSG 1899 Hoffenheim']","[0, 4]",2011-09-10T15:30:00
"['VfB Stuttgart', 'Hannover 96']","[3, 0]",2011-09-10T15:30:00
"['Borussia Mönchengladbach', '1. FC Kaiserslautern']","[1, 0]",2011-09-10T15:30:00
"['Werder Bremen', 'Hamburger SV']","[2, 0]",2011-09-10T18:30:00
"['1. FC Köln', '1. FC Nürnberg']","[1, 2]",2011-09-11T15:30:00
"['VfL Wolfsburg', 'FC Schalke 04']","[2, 1]",2011-09-11T17:30:00
"['SC Freiburg', 'VfB Stuttgart']","[0, 1]",2011-09-16T20:30:00
"['Bayer Leverkusen', '1. FC Köln']","[1, 4]",2011-09-17T15:30:00
"['Hamburger SV', 'Borussia Mönchengladbach']","[0, 1]",2011-09-17T15:30:00
"['1. FC Nürnberg', 'Werder Bremen']","[0, 1]",2011-09-17T15:30:00
